acopio,anio,mes,fecha,orig_mes,orig_ytd,equiv_mes,equiv_ytd
GUARDIA ESCOLTA,2017,1,2017-01-01,12646,12646,29.7,29.7
GUARDIA ESCOLTA,2017,2,2017-02-01,6039,18685,0,29.7
GUARDIA ESCOLTA,2017,3,2017-03-01,27137.477,45822.477,591.58,621.2800000000001
GUARDIA ESCOLTA,2017,4,2017-04-01,21093.084000000003,66915.561,2104.98,2726.26
GUARDIA ESCOLTA,2017,5,2017-05-01,13205.966,80121.527,13220.58,15946.84
GUARDIA ESCOLTA,2017,6,2017-06-01,10415.509999999995,90537.037,12323.280000000002,28270.120000000003
GUARDIA ESCOLTA,2017,7,2017-07-01,13113.410000000003,103650.447,4633.659999999996,32903.78
GUARDIA ESCOLTA,2017,8,2017-08-01,1537,105187.447,4566.68,37470.46
GUARDIA ESCOLTA,2017,9,2017-09-01,22610,127797.447,3940.519999999997,41410.979999999996
GUARDIA ESCOLTA,2017,10,2017-10-01,7691.380000000019,135488.82700000002,956.5199999999968,42367.49999999999
GUARDIA ESCOLTA,2017,11,2017-11-01,30294,165782.82700000002,13364.200000000004,55731.7
GUARDIA ESCOLTA,2017,12,2017-12-01,837,166619.82700000002,393.3000000000029,56125
GUARDIA ESCOLTA,2018,1,2018-01-01,20627.64,20627.64,0,0
GUARDIA ESCOLTA,2018,2,2018-02-01,4894.6939999999995,25522.334,1212.84,1212.84
GUARDIA ESCOLTA,2018,3,2018-03-01,0,25522.334,0,1212.84
GUARDIA ESCOLTA,2018,4,2018-04-01,29392.000000000004,54914.334,2935,4147.84
GUARDIA ESCOLTA,2018,5,2018-05-01,-14296.334000000003,40618,12584.119999999999,16731.96
GUARDIA ESCOLTA,2018,6,2018-06-01,999,41617,3215.1059999999998,19947.066
GUARDIA ESCOLTA,2018,7,2018-07-01,18092,59709,4128.239999999998,24075.305999999997
GUARDIA ESCOLTA,2018,8,2018-08-01,2237,61946,5089,29164.305999999997
GUARDIA ESCOLTA,2018,9,2018-09-01,5634,67580,3982.8899999999994,33147.195999999996
GUARDIA ESCOLTA,2018,10,2018-10-01,4028,71608,5275.9000000000015,38423.096
GUARDIA ESCOLTA,2018,11,2018-11-01,13007,84615,8174.239999999998,46597.335999999996
GUARDIA ESCOLTA,2018,12,2018-12-01,3248,87863,5354.25,51951.585999999996
GUARDIA ESCOLTA,2019,1,2019-01-01,44568,44568,2109.5,2109.5
GUARDIA ESCOLTA,2019,2,2019-02-01,6413,50981,1543,3652.5
GUARDIA ESCOLTA,2019,3,2019-03-01,9740,60721,2619,6271.5
GUARDIA ESCOLTA,2019,4,2019-04-01,13250,73971,1713.5,7985
GUARDIA ESCOLTA,2019,5,2019-05-01,21722,95693,5019.6900000000005,13004.69
GUARDIA ESCOLTA,2019,6,2019-06-01,6409,102102,5820.42,18825.11
GUARDIA ESCOLTA,2019,7,2019-07-01,6087,108189,5448.52,24273.63
GUARDIA ESCOLTA,2019,8,2019-08-01,19508,127697,7883.939999999999,32157.57
GUARDIA ESCOLTA,2019,9,2019-09-01,14041,141738,4433.82,36591.39
GUARDIA ESCOLTA,2019,10,2019-10-01,3409,145147,5384.5999999999985,41975.99
GUARDIA ESCOLTA,2019,11,2019-11-01,20077.98999999999,165224.99,12864.230000000003,54840.22
GUARDIA ESCOLTA,2019,12,2019-12-01,3875.0100000000093,169100,4308.620000000003,59148.840000000004
GUARDIA ESCOLTA,2020,1,2020-01-01,83807,83807,6314.2,6314.2
GUARDIA ESCOLTA,2020,2,2020-02-01,8744,92551,1972.500000000001,8286.7
GUARDIA ESCOLTA,2020,3,2020-03-01,15549,108100,3886.3899999999994,12173.09
GUARDIA ESCOLTA,2020,4,2020-04-01,25055,133155,13928.009999999998,26101.1
GUARDIA ESCOLTA,2020,5,2020-05-01,30530,163685,10425.267050000002,36526.36705
GUARDIA ESCOLTA,2020,6,2020-06-01,20504,184189,8995.315000000002,45521.68205
GUARDIA ESCOLTA,2020,7,2020-07-01,24273,208462,11119.020000000004,56640.70205000001
GUARDIA ESCOLTA,2020,8,2020-08-01,9612,218074,8008.095000000001,64648.79705000001
GUARDIA ESCOLTA,2020,9,2020-09-01,8661,226735,3148.904999999999,67797.70205
GUARDIA ESCOLTA,2020,10,2020-10-01,8622,235357,1538.7899999999936,69336.49205
GUARDIA ESCOLTA,2020,11,2020-11-01,13414,248771,11745.220000000001,81081.71205
GUARDIA ESCOLTA,2020,12,2020-12-01,4418,253189,1411.229999999996,82492.94205
GUARDIA ESCOLTA,2021,1,2021-01-01,44861,44861,2347.249999999999,2347.249999999999
GUARDIA ESCOLTA,2021,2,2021-02-01,23305,68166,3964,6311.249999999999
GUARDIA ESCOLTA,2021,3,2021-03-01,9516,77682,2812.0950000000003,9123.345
GUARDIA ESCOLTA,2021,4,2021-04-01,37284,114966,3252.885,12376.23
GUARDIA ESCOLTA,2021,5,2021-05-01,36987,151953,16697.865000000013,29074.095000000012
GUARDIA ESCOLTA,2021,6,2021-06-01,16523,168476,3195.2999999999993,32269.39500000001
GUARDIA ESCOLTA,2021,7,2021-07-01,18058,186534,1688.3700000000026,33957.765000000014
GUARDIA ESCOLTA,2021,8,2021-08-01,10529,197063,2315.300000000003,36273.06500000002
GUARDIA ESCOLTA,2021,9,2021-09-01,9384,206447,5835.779999999992,42108.84500000001
GUARDIA ESCOLTA,2021,10,2021-10-01,5813,212260,7751.059999999998,49859.905000000006
GUARDIA ESCOLTA,2021,11,2021-11-01,6683,218943,5149.885000000002,55009.79000000001
GUARDIA ESCOLTA,2021,12,2021-12-01,8690,227633,4684.760000000002,59694.55000000001
GUARDIA ESCOLTA,2022,1,2022-01-01,60864,60864,5150.425000000003,5150.425000000003
GUARDIA ESCOLTA,2022,2,2022-02-01,8261,69125,3906.2939999999976,9056.719000000001
GUARDIA ESCOLTA,2022,3,2022-03-01,18734,87859,2575.9219999999996,11632.641
GUARDIA ESCOLTA,2022,4,2022-04-01,16788,104647,3441.0930000000008,15073.734
GUARDIA ESCOLTA,2022,5,2022-05-01,10557,115204,10484.427999999998,25558.161999999997
GUARDIA ESCOLTA,2022,6,2022-06-01,15329,130533,3834.2559999999994,29392.417999999998
GUARDIA ESCOLTA,2022,7,2022-07-01,11576,142109,7981.505499999996,37373.92349999999
GUARDIA ESCOLTA,2022,8,2022-08-01,13493,155602,6604.385000000007,43978.3085
GUARDIA ESCOLTA,2022,9,2022-09-01,21937,177539,4783.028500000004,48761.337
GUARDIA ESCOLTA,2022,10,2022-10-01,5669,183208,3462.4975000000004,52223.8345
GUARDIA ESCOLTA,2022,11,2022-11-01,3063,186271,4586.886000000001,56810.720499999996
GUARDIA ESCOLTA,2022,12,2022-12-01,5299,191570,2496.1150000000002,59306.835499999994
GUARDIA ESCOLTA,2023,1,2023-01-01,26490,26490,6185.79,6185.79
GUARDIA ESCOLTA,2023,2,2023-02-01,6389,32879,2845.7200000000003,9031.51
GUARDIA ESCOLTA,2023,3,2023-03-01,4503,37382,721.46,9752.970000000001
GUARDIA ESCOLTA,2023,4,2023-04-01,5161,42543,2823.52,12576.490000000002
GUARDIA ESCOLTA,2023,5,2023-05-01,14144,56687,7332.54,19909.030000000002
GUARDIA ESCOLTA,2023,6,2023-06-01,5797,62484,8048.88,27957.910000000003
GUARDIA ESCOLTA,2023,7,2023-07-01,15226,77710,13454.65,41412.560000000005
GUARDIA ESCOLTA,2023,8,2023-08-01,11691,89401,9288.34,50700.90000000001
GUARDIA ESCOLTA,2023,9,2023-09-01,14224,103625,4905.879999999999,55606.780000000006
GUARDIA ESCOLTA,2023,10,2023-10-01,1782,105407,5572.110000000001,61178.89000000001
GUARDIA ESCOLTA,2023,11,2023-11-01,6221,111628,4905.33,66084.22
GUARDIA ESCOLTA,2023,12,2023-12-01,1235,112863,4856.33,70940.55
GUARDIA ESCOLTA,2024,1,2024-01-01,22009,22009,4785.91,4785.91
GUARDIA ESCOLTA,2024,2,2024-02-01,4089,26098,3204.17,7990.08
GUARDIA ESCOLTA,2024,3,2024-03-01,9241,35339,1662.44,9652.52
GUARDIA ESCOLTA,2024,4,2024-04-01,10631,45970,1773.6599999999999,11426.18
GUARDIA ESCOLTA,2024,5,2024-05-01,17127,63097,14888.51,26314.690000000002
GUARDIA ESCOLTA,2024,6,2024-06-01,13762,76859,12237.439999999999,38552.130000000005
GUARDIA ESCOLTA,2024,7,2024-07-01,14361,91220,7400.110000000001,45952.240000000005
GUARDIA ESCOLTA,2024,8,2024-08-01,8699,99919,7996.9000000000005,53949.14000000001
GUARDIA ESCOLTA,2024,9,2024-09-01,5325,105244,9689.01,63638.15000000001
GUARDIA ESCOLTA,2024,10,2024-10-01,3694,108938,11736.08,75374.23000000001
GUARDIA ESCOLTA,2024,11,2024-11-01,16446,125384,3594.5600000000004,78968.79000000001
GUARDIA ESCOLTA,2024,12,2024-12-01,6212,131596,6064.24,85033.03000000001
GUARDIA ESCOLTA,2025,1,2025-01-01,22901.489,22901.489,4511.18,4511.18
GUARDIA ESCOLTA,2025,2,2025-02-01,10885.321000000004,33786.810000000005,5381.75,9892.93
GUARDIA ESCOLTA,2025,3,2025-03-01,6897.290999999997,40684.101,9197.470000000001,19090.4
GUARDIA ESCOLTA,2025,4,2025-04-01,17784.898999999998,58469,7539.830000000002,26630.230000000003
GUARDIA ESCOLTA,2025,5,2025-05-01,30324.467999999993,88793.468,24089.199999999997,50719.43
GUARDIA ESCOLTA,2025,6,2025-06-01,30025.648,118819.116,15023.71,65743.14
GUARDIA ESCOLTA,2025,7,2025-07-01,17147.27399999996,135966.38999999996,8472.229999999996,74215.37
GUARDIA ESCOLTA,2025,8,2025-08-01,11384.285000000003,147350.67499999996,8068.840000000011,82284.21
GUARDIA ESCOLTA,2025,9,2025-09-01,10415.865000000049,157766.54,10722.589999999997,93006.8
GUARDIA ESCOLTA,2025,10,2025-10-01,9194.462999999989,166961.003,10735.01999999999,103741.81999999999
ITIN,2017,1,2017-01-01,9543,9543,138.7,138.7
ITIN,2017,2,2017-02-01,1087,10630,88.4,227.1
ITIN,2017,3,2017-03-01,5859.9310000000005,16489.931,11.060000000000002,238.16
ITIN,2017,4,2017-04-01,3573.524999999998,20063.456,1123.28,1361.44
ITIN,2017,5,2017-05-01,13051.417000000001,33114.873,10515.7,11877.140000000001
ITIN,2017,6,2017-06-01,17898.93,51013.803,12518.85,24395.99
ITIN,2017,7,2017-07-01,25728.156000000003,76741.959,12383.920000000002,36779.91
ITIN,2017,8,2017-08-01,7145.673999999999,83887.633,6192.970000000001,42972.880000000005
ITIN,2017,9,2017-09-01,14721,98608.633,3023.5899999999965,45996.47
ITIN,2017,10,2017-10-01,6688.895999999993,105297.529,2202.720000000001,48199.19
ITIN,2017,11,2017-11-01,6649,111946.529,646.6399999999994,48845.83
ITIN,2017,12,2017-12-01,9206,121152.529,1604.0599999999977,50449.89
ITIN,2018,1,2018-01-01,30382.417,30382.417,3307.8,3307.8
ITIN,2018,2,2018-02-01,11502.396999999997,41884.814,204.3800000000001,3512.1800000000003
ITIN,2018,3,2018-03-01,0,41884.814,0,3512.1800000000003
ITIN,2018,4,2018-04-01,11667,53551.814,890,4402.18
ITIN,2018,5,2018-05-01,2878,56429.814,6847.369999999999,11249.55
ITIN,2018,6,2018-06-01,592,57021.814,721.7549999999992,11971.304999999998
ITIN,2018,7,2018-07-01,21737,78758.814,2410.050000000001,14381.355
ITIN,2018,8,2018-08-01,3932,82690.814,2868,17249.355
ITIN,2018,9,2018-09-01,3086,85776.814,407.84000000000015,17657.195
ITIN,2018,10,2018-10-01,2218,87994.814,3281.9000000000015,20939.095
ITIN,2018,11,2018-11-01,4563,92557.814,3529.6899999999987,24468.785
ITIN,2018,12,2018-12-01,13926,106483.814,3376.9300000000003,27845.715
ITIN,2019,1,2019-01-01,30322,30322,3459.5,3459.5
ITIN,2019,2,2019-02-01,1288,31610,2525.5,5985
ITIN,2019,3,2019-03-01,4002,35612,1882,7867
ITIN,2019,4,2019-04-01,7564,43176,285,8152
ITIN,2019,5,2019-05-01,2872,46048,747.9899999999998,8899.99
ITIN,2019,6,2019-06-01,10701,56749,6275.83,15175.82
ITIN,2019,7,2019-07-01,10966,67715,5438.119999999999,20613.94
ITIN,2019,8,2019-08-01,12105,79820,3912.790000000001,24526.73
ITIN,2019,9,2019-09-01,7818,87638,6126.41,30653.14
ITIN,2019,10,2019-10-01,3365,91003,4984.75,35637.89
ITIN,2019,11,2019-11-01,6396,97399,7587.010000000002,43224.9
ITIN,2019,12,2019-12-01,10258,107657,4511.580000000002,47736.48
ITIN,2020,1,2020-01-01,45978,45978,5471.22,5471.22
ITIN,2020,2,2020-02-01,1323,47301,1538.13,7009.35
ITIN,2020,3,2020-03-01,1133,48434,101.1899999999996,7110.54
ITIN,2020,4,2020-04-01,12914,61348,6638.000000000001,13748.54
ITIN,2020,5,2020-05-01,17258,78606,7498.009174999999,21246.549175
ITIN,2020,6,2020-06-01,7932,86538,8116.980000000003,29363.529175000003
ITIN,2020,7,2020-07-01,11838,98376,7445.064999999995,36808.594175
ITIN,2020,8,2020-08-01,6946,105322,3294.084999999999,40102.679175
ITIN,2020,9,2020-09-01,3570,108892,4919.032999999996,45021.71217499999
ITIN,2020,10,2020-10-01,12257,121149,6324.830000000002,51346.542174999995
ITIN,2020,11,2020-11-01,1567,122716,3287.5,54634.042174999995
ITIN,2020,12,2020-12-01,2629,125345,299.25,54933.292174999995
ITIN,2021,1,2021-01-01,28923,28923,2063.5,2063.5
ITIN,2021,2,2021-02-01,11017,39940,800.9099999999999,2864.41
ITIN,2021,3,2021-03-01,8342,48282,1639.085,4503.495
ITIN,2021,4,2021-04-01,9658,57940,5783.660000000001,10287.155
ITIN,2021,5,2021-05-01,18020,75960,16010.140000000012,26297.295000000013
ITIN,2021,6,2021-06-01,19173,95133,1580.5999999999985,27877.89500000001
ITIN,2021,7,2021-07-01,12718,107851,6096.169999999998,33974.06500000001
ITIN,2021,8,2021-08-01,8811,116662,5159.015000000007,39133.080000000016
ITIN,2021,9,2021-09-01,12954,129616,6882.900000000009,46015.980000000025
ITIN,2021,10,2021-10-01,11090,140706,8492.86,54508.840000000026
ITIN,2021,11,2021-11-01,5359,146065,4454.9649999999965,58963.80500000002
ITIN,2021,12,2021-12-01,7494,153559,4573.384999999995,63537.19000000002
ITIN,2022,1,2022-01-01,35468,35468,3135.2824999999993,3135.2824999999993
ITIN,2022,2,2022-02-01,10391,45859,3558.9435,6694.225999999999
ITIN,2022,3,2022-03-01,11917,57776,0,6694.225999999999
ITIN,2022,4,2022-04-01,34650,92426,6466.160499999995,13160.386499999993
ITIN,2022,5,2022-05-01,32285,124711,14353.609999999982,27513.996499999976
ITIN,2022,6,2022-06-01,16437,141148,7873.079000000002,35387.07549999998
ITIN,2022,7,2022-07-01,8892,150040,7311.223000000001,42698.298499999975
ITIN,2022,8,2022-08-01,13318,163358,4727.0035,47425.301999999974
ITIN,2022,9,2022-09-01,11179,174537,7596.4645,55021.766499999976
ITIN,2022,10,2022-10-01,4029,178566,6777.658999999998,61799.425499999976
ITIN,2022,11,2022-11-01,8224,186790,9754.099999999999,71553.52549999997
ITIN,2022,12,2022-12-01,6568,193358,5590.366500000001,77143.89199999998
ITIN,2023,1,2023-01-01,30618,30618,4452.54,4452.54
ITIN,2023,2,2023-02-01,3600,34218,1652.67,6105.21
ITIN,2023,3,2023-03-01,7045,41263,989.57,7094.78
ITIN,2023,4,2023-04-01,4715,45978,506.38,7601.16
ITIN,2023,5,2023-05-01,19972,65950,9008.5,16609.66
ITIN,2023,6,2023-06-01,16755,82705,8865.27,25474.93
ITIN,2023,7,2023-07-01,20332,103037,13578.329999999998,39053.259999999995
ITIN,2023,8,2023-08-01,9579,112616,5175.74,44228.99999999999
ITIN,2023,9,2023-09-01,9203,121819,3555.81,47784.80999999999
ITIN,2023,10,2023-10-01,3172,124991,6489.72,54274.52999999999
ITIN,2023,11,2023-11-01,5938,130929,4824.43,59098.95999999999
ITIN,2023,12,2023-12-01,4430,135359,2911.8,62010.759999999995
ITIN,2024,1,2024-01-01,24644,24644,2089.73,2089.73
ITIN,2024,2,2024-02-01,4859,29503,1737.5700000000002,3827.3
ITIN,2024,3,2024-03-01,16335,45838,317.52,4144.82
ITIN,2024,4,2024-04-01,14401,60239,5702.86,9847.68
ITIN,2024,5,2024-05-01,21777,82016,16089.15,25936.83
ITIN,2024,6,2024-06-01,16457,98473,13691.699999999999,39628.53
ITIN,2024,7,2024-07-01,10869,109342,6783.53,46412.06
ITIN,2024,8,2024-08-01,2572,111914,3783.4500000000003,50195.509999999995
ITIN,2024,9,2024-09-01,4159,116073,6276.05,56471.56
ITIN,2024,10,2024-10-01,8833,124906,11289.86,67761.42
ITIN,2024,11,2024-11-01,10701,135607,7650.63,75412.05
ITIN,2024,12,2024-12-01,10623,146230,7004.74,82416.79000000001
ITIN,2025,1,2025-01-01,33110.426,33110.426,13804.880000000001,13804.880000000001
ITIN,2025,2,2025-02-01,8374.604,41485.03,4306.23,18111.11
ITIN,2025,3,2025-03-01,2505.081999999995,43990.111999999994,24.729999999999563,18135.84
ITIN,2025,4,2025-04-01,13532.888000000006,57523,887.7599999999984,19023.6
ITIN,2025,5,2025-05-01,10677.096999999994,68200.097,6214.740000000002,25238.34
ITIN,2025,6,2025-06-01,16697.392999999982,84897.48999999998,8278.709999999995,33517.049999999996
ITIN,2025,7,2025-07-01,8955.856000000029,93853.346,4808.529999999999,38325.579999999994
ITIN,2025,8,2025-08-01,18807.516000000003,112660.86200000001,11922.190000000002,50247.77
ITIN,2025,9,2025-09-01,9488.357999999993,122149.22,8650.580000000002,58898.35
ITIN,2025,10,2025-10-01,34173.86799999999,156323.088,10142.239999999998,69040.59
LAS VARILLAS,2017,1,2017-01-01,16714,16714,582.9,582.9
LAS VARILLAS,2017,2,2017-02-01,5362,22076,1504.7399999999998,2087.64
LAS VARILLAS,2017,3,2017-03-01,21122.767999999996,43198.768,334.84000000000015,2422.48
LAS VARILLAS,2017,4,2017-04-01,16342.624000000003,59541.392,2323.68,4746.16
LAS VARILLAS,2017,5,2017-05-01,5086.811999999998,64628.204,6457.9,11204.06
LAS VARILLAS,2017,6,2017-06-01,1422.5230000000156,66050.72700000001,3639.300000000001,14843.36
LAS VARILLAS,2017,7,2017-07-01,6291.333999999988,72342.061,4997.260000000002,19840.620000000003
LAS VARILLAS,2017,8,2017-08-01,13040.013999999996,85382.075,5690.9000000000015,25531.520000000004
LAS VARILLAS,2017,9,2017-09-01,2886,88268.075,671.0200000000004,26202.540000000005
LAS VARILLAS,2017,10,2017-10-01,898.8879999999917,89166.96299999999,915.5800000000017,27118.120000000006
LAS VARILLAS,2017,11,2017-11-01,15874,105040.96299999999,261.08000000000175,27379.200000000008
LAS VARILLAS,2017,12,2017-12-01,7730,112770.96299999999,9.340000000000146,27388.540000000008
LAS VARILLAS,2018,1,2018-01-01,26649.676,26649.676,33.32,33.32
LAS VARILLAS,2018,2,2018-02-01,7255.784000000007,33905.46000000001,3.0600000000000023,36.38
LAS VARILLAS,2018,3,2018-03-01,0,33905.46000000001,0,36.38
LAS VARILLAS,2018,4,2018-04-01,31758,65663.46,13511,13547.38
LAS VARILLAS,2018,5,2018-05-01,4.539999999993597,65668,-3253.7699999999986,10293.61
LAS VARILLAS,2018,6,2018-06-01,3064,68732,2938.146499999999,13231.7565
LAS VARILLAS,2018,7,2018-07-01,7595,76327,749.5,13981.2565
LAS VARILLAS,2018,8,2018-08-01,2198,78525,3143,17124.2565
LAS VARILLAS,2018,9,2018-09-01,3716,82241,2887.470000000001,20011.7265
LAS VARILLAS,2018,10,2018-10-01,4453,86694,0,20011.7265
LAS VARILLAS,2018,11,2018-11-01,4975,91669,1532.2799999999988,21544.0065
LAS VARILLAS,2018,12,2018-12-01,5790,97459,2156.59,23700.5965
LAS VARILLAS,2019,1,2019-01-01,41365,41365,357,357
LAS VARILLAS,2019,2,2019-02-01,5848,47213,899.5,1256.5
LAS VARILLAS,2019,3,2019-03-01,16270,63483,2628.5,3885
LAS VARILLAS,2019,4,2019-04-01,11276,74759,5811,9696
LAS VARILLAS,2019,5,2019-05-01,20866,95625,5194.6875,14890.6875
LAS VARILLAS,2019,6,2019-06-01,9260,104885,3014.369999999999,17905.0575
LAS VARILLAS,2019,7,2019-07-01,24862,129747,4265.610000000001,22170.6675
LAS VARILLAS,2019,8,2019-08-01,31592,161339,9294.719999999998,31465.387499999997
LAS VARILLAS,2019,9,2019-09-01,14344,175683,3166.1100000000006,34631.4975
LAS VARILLAS,2019,10,2019-10-01,18253,193936,2654.959999999999,37286.4575
LAS VARILLAS,2019,11,2019-11-01,15367.99999999997,209303.99999999997,5227.330000000002,42513.7875
LAS VARILLAS,2019,12,2019-12-01,9191.00000000003,218495,1690.6800000000003,44204.4675
LAS VARILLAS,2020,1,2020-01-01,60296,60296,682.46,682.46
LAS VARILLAS,2020,2,2020-02-01,4957,65253,1384.4499999999998,2066.91
LAS VARILLAS,2020,3,2020-03-01,17207,82460,1462.67,3529.58
LAS VARILLAS,2020,4,2020-04-01,25449,107909,10168.02,13697.6
LAS VARILLAS,2020,5,2020-05-01,28885,136794,1912.2458700000007,15609.845870000001
LAS VARILLAS,2020,6,2020-06-01,13538,150332,8120.984999999997,23730.830869999998
LAS VARILLAS,2020,7,2020-07-01,19093,169425,2682.3600000000006,26413.19087
LAS VARILLAS,2020,8,2020-08-01,7235,176660,4308.705000000002,30721.89587
LAS VARILLAS,2020,9,2020-09-01,8467,185127,5291.590000000004,36013.485870000004
LAS VARILLAS,2020,10,2020-10-01,6516,191643,4003.539499999999,40017.02537
LAS VARILLAS,2020,11,2020-11-01,4892,196535,4090.9300000000003,44107.95537
LAS VARILLAS,2020,12,2020-12-01,-5783,190752,1304.3600000000006,45412.315370000004
LAS VARILLAS,2021,1,2021-01-01,63532,63532,1614.535,1614.535
LAS VARILLAS,2021,2,2021-02-01,6152,69684,3143.8,4758.335
LAS VARILLAS,2021,3,2021-03-01,10560,80244,142.35999999999967,4900.695
LAS VARILLAS,2021,4,2021-04-01,21044,101288,5644.6900000000005,10545.385
LAS VARILLAS,2021,5,2021-05-01,20875,122163,4105.619999999997,14651.004999999997
LAS VARILLAS,2021,6,2021-06-01,12107,134270,3513.66,18164.664999999997
LAS VARILLAS,2021,7,2021-07-01,26927,161197,13788.989999999998,31953.654999999995
LAS VARILLAS,2021,8,2021-08-01,6937,168134,8775.180000000004,40728.835
LAS VARILLAS,2021,9,2021-09-01,8264,176398,5924.909999999996,46653.744999999995
LAS VARILLAS,2021,10,2021-10-01,3628,180026,3075.9749999999985,49729.719999999994
LAS VARILLAS,2021,11,2021-11-01,4730,184756,3185.269999999997,52914.98999999999
LAS VARILLAS,2021,12,2021-12-01,8623,193379,2300.1900000000023,55215.17999999999
LAS VARILLAS,2022,1,2022-01-01,31804,31804,2074.447499999999,2074.447499999999
LAS VARILLAS,2022,2,2022-02-01,3437,35241,1074.1784999999998,3148.6259999999984
LAS VARILLAS,2022,3,2022-03-01,8311,43552,641.1195,3789.745499999998
LAS VARILLAS,2022,4,2022-04-01,11392,54944,1757.8515000000002,5547.596999999998
LAS VARILLAS,2022,5,2022-05-01,7093,62037,1378.6899999999998,6926.2869999999975
LAS VARILLAS,2022,6,2022-06-01,5929,67966,660.9095,7587.196499999997
LAS VARILLAS,2022,7,2022-07-01,6590,74556,3130.8824999999997,10718.078999999998
